Date,Open,High,Low,Close
8/10/2017,"3,341.84","3,453.45","3,319.47","3,381.28"
8/11/2017,"3,373.82","3,679.72","3,372.12","3,650.62"
8/12/2017,"3,650.63","3,949.92","3,613.70","3,884.71"
8/13/2017,"3,880.04","4,208.39","3,857.80","4,073.26"
8/14/2017,"4,066.10","4,325.13","3,989.16","4,325.13"
8/15/2017,"4,326.99","4,455.97","3,906.18","4,181.93"
8/16/2017,"4,200.34","4,381.23","3,994.42","4,376.63"
8/17/2017,"4,384.44","4,484.70","4,243.71","4,331.69"
8/18/2017,"4,324.34","4,370.13","4,015.40","4,160.62"
8/19/2017,"4,137.75","4,243.26","3,970.55","4,193.70"
8/20/2017,"4,189.31","4,196.29","4,069.88","4,087.66"
8/21/2017,"4,090.48","4,109.14","3,988.60","4,001.74"
8/22/2017,"3,998.35","4,128.76","3,674.58","4,100.52"
8/23/2017,"4,089.01","4,255.78","4,078.41","4,151.52"
8/24/2017,"4,137.60","4,376.39","4,130.26","4,334.68"
8/25/2017,"4,332.82","4,455.70","4,307.35","4,371.60"
8/26/2017,"4,372.06","4,379.28","4,269.52","4,352.40"
8/27/2017,"4,345.10","4,416.59","4,317.29","4,382.88"
8/28/2017,"4,384.45","4,403.93","4,224.64","4,382.66"
8/29/2017,"4,389.21","4,625.68","4,352.13","4,579.02"
8/30/2017,"4,570.36","4,626.52","4,471.41","4,565.30"
8/31/2017,"4,555.59","4,736.05","4,549.40","4,703.39"
9/1/2017,"4,701.76","4,892.01","4,678.53","4,892.01"
9/2/2017,"4,901.42","4,975.04","4,469.24","4,578.77"
9/3/2017,"4,585.27","4,714.08","4,417.59","4,582.96"
9/4/2017,"4,591.63","4,591.63","4,108.40","4,236.31"
9/5/2017,"4,228.29","4,427.84","3,998.11","4,376.53"
9/6/2017,"4,376.59","4,617.25","4,376.59","4,597.12"
9/7/2017,"4,589.14","4,655.04","4,491.33","4,599.88"
9/8/2017,"4,605.16","4,661.00","4,075.18","4,228.75"
9/9/2017,"4,229.81","4,308.82","4,114.11","4,226.06"
9/10/2017,"4,229.34","4,245.44","3,951.04","4,122.94"
9/11/2017,"4,122.47","4,261.67","4,099.40","4,161.27"
9/12/2017,"4,168.88","4,344.65","4,085.22","4,130.81"
9/13/2017,"4,131.98","4,131.98","3,789.92","3,882.59"
9/14/2017,"3,875.37","3,920.60","3,153.86","3,154.95"
9/15/2017,"3,166.30","3,733.45","2,946.62","3,637.52"
9/16/2017,"3,637.75","3,808.84","3,487.79","3,625.04"
9/17/2017,"3,606.28","3,664.81","3,445.64","3,582.88"
9/18/2017,"3,591.09","4,079.23","3,591.09","4,065.20"
9/19/2017,"4,073.79","4,094.07","3,868.87","3,924.97"
9/20/2017,"3,916.36","4,031.39","3,857.73","3,905.95"
9/21/2017,"3,901.47","3,916.42","3,613.63","3,631.04"
9/22/2017,"3,628.02","3,758.27","3,553.53","3,630.70"
9/23/2017,"3,629.92","3,819.21","3,594.58","3,792.40"
9/24/2017,"3,796.15","3,796.15","3,666.90","3,682.84"
9/25/2017,"3,681.58","3,950.25","3,681.58","3,926.07"
9/26/2017,"3,928.41","3,969.89","3,869.90","3,892.35"
9/27/2017,"3,892.94","4,210.05","3,884.82","4,200.67"
9/28/2017,"4,197.13","4,279.31","4,109.70","4,174.73"
9/29/2017,"4,171.62","4,214.63","4,039.29","4,163.07"
9/30/2017,"4,166.11","4,358.43","4,160.86","4,338.71"
